domain,city,state,type,org,status,bid_url,platform,checked_date
stevensonal.gov,Stevenson,AL,City,City Of Stevenson,not_found,,,2026-08-11
cityofbrookwoodal.gov,Brookwood,AL,City,City of Brookwood,not_found,,,2026-08-11
gardencityal.gov,Garden City,AL,City,"Town of Garden City, Alabama",not_found,,,2026-08-11
spanishfortal.gov,Spanish Fort,AL,City,City of Spanish Fort,not_found,,,2026-08-11
clantonal.gov,Clanton,AL,City,City of Clanton,not_found,,,2026-08-11
whittieralaska.gov,Whittier,AK,City,City of Whittier,not_found,,,2026-08-11
prattvilleal.gov,Prattville,AL,City,City of Prattville,not_found,,,2026-08-11
genevaal.gov,Geneva,AL,City,City of Geneva,not_found,,,2026-08-11
kimberlyal.gov,Kimberly,AL,City,"City of Kimberly, Alabama",not_found,,,2026-08-11
dauphinisland.gov,Dauphin Island,AL,City,Town of Dauphin Island,not_found,,,2026-08-11
cityofbayminetteal.gov,Bay Minette,AL,City,City of Bay Minette,not_found,,,2026-08-11
sylacaugaal.gov,Sylacauga,AL,City,City of Sylacauga,not_found,,,2026-08-11
sardiscityal.gov,Sardis City,AL,City,Sardis City Alabama,not_found,,,2026-08-11
foleyalpd.gov,Foley,AL,City,City of Foley,not_found,,,2026-08-11
redbay-al.gov,Red Bay,AL,City,City of Red Bay,not_found,,,2026-08-11
thornebay-ak.gov,Thorne Bay,AK,City,City Of Thorne Bay,not_found,,,2026-08-11
gulfshoresal.gov,Gulf Shores,AL,City,City of Gulf Shores,found,https://www.gulfshoresal.gov/1871/Bids-and-Proposals,agency,2026-08-11
trussvillegasandwater.gov,Trussville,AL,City,Trussville Gas and Water,not_found,,,2026-08-11
cityofsemmesal.gov,Semmes,AL,City,City of Semmes,not_found,,,2026-08-11
tallassee-al.gov,Tallassee,AL,City,Tallassee,not_found,,,2026-08-11
warrioral.gov,Warrior,AL,City,City of Warrior,not_found,,,2026-08-11
birminghamal.gov,Birmingham,AL,City,City of Birmingham,found,https://birminghamal.gov/work,custom,2026-08-11
franklinalabama.gov,Tuskegee,AL,City,Town of Franklin,not_found,,,2026-08-11
whitehallal.gov,White Hall,AL,City,Town of White Hall,not_found,,,2026-08-11
tuskegeealabama.gov,Tuskegee,AL,City,City of Tuskegee,not_found,,,2026-08-11
westoveral.gov,Westover,AL,City,City of Westover Alabama,not_found,,,2026-08-11
ashdownarkansas.gov,Ashdown,AR,City,City of Ashdown,not_found,,,2026-08-11
selma-al.gov,Selma,AL,City,City of Selma,found,https://selma-al.gov/bid-openings/,agency,2026-08-11
unionspringsal.gov,Union Springs,AL,City,City of Union Springs,not_found,,,2026-08-11
shorteral.gov,Shorter,AL,City,Town of Shorter,found,https://shorteral.gov/how-i-do/bid-openings/,agency,2026-08-11
fairhopealpolice.gov,Fairhope,AL,City,City of Fairhope Police Department,not_found,,,2026-08-11
blbutilitiesal.gov,Bayou la Batre,AL,City,Utilities Board for the City of Bayou la Batre,not_found,,,2026-08-11
tuscaloosa-al.gov,Tuscaloosa,AL,City,"City of Tuscaloosa, AL",found,https://tuscaloosa-al.gov/bids,agency,2026-08-11
huntsvillealtransit.gov,Huntsville,AL,City,City of Huntsville,found,https://www.huntsvilleal.gov/business/bid-a-project/,agency,2026-08-11
townofwedowee.gov,Wedowee,AL,City,Wedowee Police Department,not_found,,,2026-08-11
rogersvillealabama.gov,Rogersville,AL,City,Town of Rogersville,not_found,,,2026-08-11
weaveral.gov,Weaver,AL,City,City of Weaver,not_found,,,2026-08-11
elkmontal.gov,Elkmont,AL,City,Town of Elkmont,not_found,,,2026-08-11
trinityal.gov,Trinity,AL,City,Town of Trinity Alabama,not_found,,,2026-08-11
baldknobar.gov,Bald Knob,AR,City,City of Bald Knob,not_found,,,2026-08-11
eutawal.gov,Eutaw,AL,City,City of Eutaw,not_found,,,2026-08-11
cabotar.gov,Cabot,AR,City,City of Cabot,found,https://cabotar.gov/Bids.aspx,civicplus,2026-08-11
ashdownpd.gov,Ashdown,AR,City,Ashdown Police Department,not_found,,,2026-08-11
troyal.gov,Troy,AL,City,City of Troy,not_found,,,2026-08-11
lakeviewalabama.gov,McCalla,AL,City,Lake View Alabama,not_found,,,2026-08-11
moodyalabama.gov,Moody,AL,City,City of Moody,not_found,,,2026-08-11
traffordal.gov,Trafford,AL,City,Town of Trafford,not_found,,,2026-08-11
montgomeryal.gov,Montgomery,AL,City,City of Montgomery,not_found,,,2026-08-11
houston-ak.gov,Houston,AK,City,"City of Houston, Alaska",found,https://houston-ak.gov/contracts/competitive_bids.php,agency,2026-08-11
almaarkansaspd.gov,Alma,AR,City,Alma Police Department,not_found,,,2026-08-11
fairhopeal.gov,Fairhope,AL,City,City of Fairhope,not_found,,,2026-08-11
blackrockar.gov,Black Rock,AR,City,"City of Black Rock, AR",not_found,,,2026-08-11
juneau.gov,Juneau,AK,City,City and Borough of Juneau,not_found,,,2026-08-11
cityofaugustaar.gov,Augusta,AR,City,City of Augusta,not_found,,,2026-08-11
oneontaalpd.gov,Oneonta,AL,City,Oneonta Police Department,not_found,,,2026-08-11
elbaal.gov,Elba,AL,City,"City of Elba, Alabama",not_found,,,2026-08-11
fairhopeutilities-al.gov,Fairhope,AL,City,City of Fairhope Public Utilities,not_found,,,2026-08-11
atkinsar.gov,Atkins,AR,City,Atkins City Hall,not_found,,,2026-08-11
3statedistrictcourtar.gov,Berryville,AR,City,Third Judicial District - Berryville Division,not_found,,,2026-08-11
brinkleyar.gov,Brinkley,AR,City,City of Brinkley,not_found,,,2026-08-11
cityofbayar.gov,Bay,AR,City,City of Bay,not_found,,,2026-08-11
cityofblevinsar.gov,Blevins,AR,City,City of Blevins,not_found,,,2026-08-11
sheffieldalabama.gov,Sheffield,AL,City,"City of Sheffield, Alabama",not_found,,,2026-08-11
bentonpolicear.gov,Benton,AR,City,City of Benton,not_found,,,2026-08-11
townofmoorefieldar.gov,Batesville,AR,City,Town of Moorefield,not_found,,,2026-08-11
cityofbriarcliffar.gov,Briarcliff,AR,City,City of Briarcliff,not_found,,,2026-08-11
orangebeachlibrary.gov,Orange Beach,AL,City,Orange Beach Public Library,not_found,,,2026-08-11
cityofbigflatar.gov,Big Flat,AR,City,City of Big Flat AR,not_found,,,2026-08-11
cityofblytheville.gov,Blytheville,AR,City,City of Blytheville,not_found,,,2026-08-11
berlinal.gov,Cullman,AL,City,Town of Berlin,not_found,,,2026-08-11
ashflatar.gov,Ash Flat,AR,City,City of Ash Flat,not_found,,,2026-08-11
bellavistaar.gov,Bella Vista,AR,City,City of Bella Vista,found,https://bellavistaar.gov/bids,agency,2026-08-11
blythevillepdar.gov,Blytheville,AR,City,Blytheville Police Department,not_found,,,2026-08-11
cityofcalicorock.gov,Calico Rock,AR,City,City of Calico Rock,not_found,,,2026-08-11
oxfordal.gov,Oxford,AL,City,"City of Oxford, AL",not_found,,,2026-08-11
ozarkal.gov,Ozark,AL,City,City of Ozark,not_found,,,2026-08-11
fairbanks.gov,Fairbanks,AK,City,City of Fairbanks,found,https://fairbanks.gov/finance/invitations-to-bid,agency,2026-08-11
townoftrianaal.gov,Triana,AL,City,Town of Triana,not_found,,,2026-08-11
scottsboropdal.gov,Scottsboro,AL,City,City of Scottsboro,not_found,,,2026-08-11
centralcityar.gov,Central City,AR,City,Central City,not_found,,,2026-08-11
pinelevelal.gov,Prattville,AL,City,"Town of Pine Level, Alabama",not_found,,,2026-08-11
townofbaileytonal.gov,Baileyton,AL,City,Town of Baileyton,not_found,,,2026-08-11
berryvillear.gov,Berryville,AR,City,City of Berryville,not_found,,,2026-08-11
clintonar.gov,Clinton,AR,City,"City of Clinton, AR",not_found,,,2026-08-11
decatur-al.gov,Decatur,AL,City,City of Decatur,found,https://decatur-al.gov/government/departments/purchasing/bidder_list_application_form.php,agency,2026-08-11
charlestonar.gov,Charleston,AR,City,City of Charleston,not_found,,,2026-08-11
pinsonal.gov,Pinson,AL,City,"City of Pinson, Al.",found,https://pinsonal.gov/bid-openings/,agency,2026-08-11
cityofmargaretalabama.gov,ODENVILLE,AL,City,City of Margaret,not_found,,,2026-08-11
townofdamascusar.gov,Damascus,AR,City,Town of Damascus,not_found,,,2026-08-11
cityofcalion.gov,Calion,AR,City,City of Calion,not_found,,,2026-08-11
dewittar.gov,DeWitt,AR,City,City of DeWitt,not_found,,,2026-08-11
centertonpd.gov,Centerton,AR,City,Centerton Police Department,not_found,,,2026-08-11
cityofconway-ar.gov,Conway,AR,City,City of Conway- Information Technology,not_found,,,2026-08-11
thecityofsumiton.gov,Sumiton,AL,City,City of Sumiton,not_found,,,2026-08-11
eldoradoar.gov,El Dorado,AR,City,City Of El Dorado,not_found,,,2026-08-11
eastcamdenar.gov,Camden,AR,City,City of East Camden,not_found,,,2026-08-11
sweetwateral.gov,Sweet Water,AL,City,Town of Sweet Water Alabama,not_found,,,2026-08-11
fayetteville-ar.gov,Fayetteville,AR,City,City of Fayetteville,found,https://fayetteville-ar.gov/Bids.aspx,civicplus,2026-08-11
cityofalbertvilleal.gov,Albertville,AL,City,City of Albertville,not_found,,,2026-08-11
earlear.gov,Earle,AR,City,"City of Earle, AR",not_found,,,2026-08-11
cherokeevillage.gov,Cherokee Village,AR,City,"Cherokee Village, Arkansas",not_found,,,2026-08-11
cityofcasa.gov,Casa,AR,City,City of Casa,not_found,,,2026-08-11
cityofbono.gov,Bono,AR,City,City of Bono,not_found,,,2026-08-11
nauvooal.gov,Nauvoo,AL,City,Town of Nauvoo,not_found,,,2026-08-11
uniontownpdal.gov,UNIONTOWN,AL,City,Uniontown Police Department,not_found,,,2026-08-11
cityofcrossettar.gov,Crossett,AR,City,City of Crossett,not_found,,,2026-08-11
corningar.gov,Corning,AR,City,City of Corning Arkansas,not_found,,,2026-08-11
eldoradofirear.gov,El Dorado,AR,City,El Dorado Fire Department,not_found,,,2026-08-11
fordycewaterar.gov,Fordyce,AR,City,City of Fordyce Water Fund,not_found,,,2026-08-11
cityofforrestcityar.gov,Forrest City,AR,City,City of Forrest City,not_found,,,2026-08-11
gentryarkansaspd.gov,Gentry,AR,City,City of Gentry Police Department,not_found,,,2026-08-11
cherryvalleyar.gov,Cherry Valley,AR,City,"City of Cherry Valley, AR",not_found,,,2026-08-11
smithsstational.gov,Smiths Station,AL,City,City of Smiths Station AL,not_found,,,2026-08-11
cityofbluemtnar.gov,Blue Mountain,AR,City,City of Blue Mountain,not_found,,,2026-08-11
cityofdyerar.gov,Dyer,AR,City,City of Dyer,not_found,,,2026-08-11
cityoffairfieldbay.gov,Fairfield Bay,AR,City,City of Fairfield Bay,not_found,,,2026-08-11
gentryarlib.gov,Gentry,AR,City,Gentry Public Library,not_found,,,2026-08-11
townofalpena.gov,Alpena,AR,City,Town of Alpena,not_found,,,2026-08-11
gillettar.gov,Gillett,AR,City,"City of Gillett, Arkansas",not_found,,,2026-08-11
jacksonvillear.gov,Jacksonville,AR,City,City of Jacksonville Arkansas,found,https://jacksonvillear.gov/Bids.aspx,civicplus,2026-08-11
jonesboroar.gov,jonesboro,AR,City,City of Jonesboro,found,https://jonesboroar.gov/Bids.aspx,civicplus,2026-08-11
eurekaspringsar.gov,Eureka Springs,AR,City,Eureka Springs,not_found,,,2026-08-11
fortsmithpd.gov,Fort Smith,AR,City,Fort Smith Police Department,not_found,,,2026-08-11
barlingar.gov,Barling,AR,City,City of Barling,not_found,,,2026-08-11
foremanar.gov,Foreman,AR,City,City of Foreman,not_found,,,2026-08-11
margaretal.gov,Odenville,AL,City,City of Margaret,not_found,,,2026-08-11
centertonar.gov,Centerton,AR,City,City of Centerton,not_found,,,2026-08-11
highfillarkansas.gov,Highfill,AR,City,City of Highfill,found,https://highfillarkansas.gov/bids,agency,2026-08-11
diamondcityar.gov,Diamond City,AR,City,City of Diamond City,not_found,,,2026-08-11
phenixcityal.gov,Phenix City,AL,City,"City of Phenix City, AL",not_found,,,2026-08-11
pellcity.gov,Pell City,AL,City,City of Pell City,found,https://pellcity.gov/open-bids-solicitations,agency,2026-08-11
cityofgurdon.gov,Gurdon,AR,City,City of Gurdon,not_found,,,2026-08-11
danvillear.gov,Danville,AR,City,City of Danville,not_found,,,2026-08-11
greenwoodar.gov,Greenwood,AR,City,City of Greenwood,not_found,,,2026-08-11
doverar.gov,Dover,AR,City,City of Dover,not_found,,,2026-08-11
elmspringsar.gov,Elm Springs,AR,City,"City of Elm Springs, Arkansas",not_found,,,2026-08-11
hotspringsar.gov,Hot Springs,AR,City,City of Hot Springs,found,https://hotspringsar.gov/Bids.aspx,civicplus,2026-08-11
maumelle.gov,Maumelle,AR,City,City of Maumelle,found,https://maumelle.gov/Bids.aspx,civicplus,2026-08-11
gurdonpd.gov,Gurdon,AR,City,City of Gurdon,not_found,,,2026-08-11
higginsonar.gov,Higginson,AR,City,City of Higginson,not_found,,,2026-08-11
tallasseeal.gov,Tallassee,AL,City,City of Tallassee,not_found,,,2026-08-11
maumellepolice.gov,Maumelle,AR,City,Maumelle Police Department,found,https://maumellepolice.gov/Bids.aspx,civicplus,2026-08-11
greenlandar.gov,Greenland,AR,City,City of Greenland,found,https://greenlandar.gov/bids,agency,2026-08-11
malvernar.gov,Malvern,AR,City,City of Malvern,found,https://malvernar.gov/Bids.aspx,civicplus,2026-08-11
fairhope-al.gov,Fairhope,AL,City,City of Fairhope,not_found,,,2026-08-11
grannis.gov,Grannis,AR,City,Town of Grannis,not_found,,,2026-08-11
monroevilleal.gov,Monroeville,AL,City,City of Monroeville,not_found,,,2026-08-11
trussville.gov,Trussville,AL,City,City of Trussville,not_found,,,2026-08-11
newhopeal.gov,NEW HOPE,AL,City,CITY OF NEW HOPE,not_found,,,2026-08-11
cityofhoratioar.gov,Horatio,AR,City,City of Horatio Arkansas,not_found,,,2026-08-11
hopear.gov,Hope,AR,City,City of Hope Arkansas,found,https://hopear.gov/Bids.aspx,civicplus,2026-08-11
fortdeposital.gov,Fort Deposit,AL,City,Fort Deposit,not_found,,,2026-08-11
cityofengland.gov,England,AR,City,City of England,found,https://cityofengland.gov/bids-and-rfps,agency,2026-08-11
greersferry.gov,Greers Ferry,AR,City,City of Greers Ferry,not_found,,,2026-08-11
gravettelibrary.gov,Gravette,AR,City,Gravette Public Library,not_found,,,2026-08-11
haskellar.gov,Benton,AR,City,City of Haskell,not_found,,,2026-08-11
hamburgark.gov,Hamburg,AR,City,City of Hamburg,not_found,,,2026-08-11
batesvillepolicear.gov,Batesville,AR,City,City of Batesville,not_found,,,2026-08-11
cityofbullshoals.gov,Bull Shoals,AR,City,City of Bull Shoals,not_found,,,2026-08-11
havanaar.gov,Havana,AR,City,City of Havana,not_found,,,2026-08-11
forrestcitylibrary.gov,Forrest City,AR,City,Forrest City Public Library,not_found,,,2026-08-11
conwayarkansas.gov,Conway,AR,City,"City of Conway, Arkansas",found,https://conwayarkansas.gov/rfp,agency,2026-08-11
cityoflincolnar.gov,Lincoln,AR,City,City of Lincoln,not_found,,,2026-08-11
beebeark.gov,Beebe,AR,City,City of Beebe,not_found,,,2026-08-11
cityofhighlandar.gov,Highland,AR,City,City of Highland,not_found,,,2026-08-11
hebersprings.gov,Heber Springs,AR,City,City of Heber Springs,not_found,,,2026-08-11
littleflockar.gov,Little Flock,AR,City,City of Little Flock,not_found,,,2026-08-11
cityofimbodenar.gov,Imboden,AR,City,Town of Imboden,not_found,,,2026-08-11
carlislear.gov,CARLISLE,AR,City,CITY OF CARLISLE,not_found,,,2026-08-11
hoxiear.gov,Hoxie,AR,City,"City of Hoxie, AR",not_found,,,2026-08-11
mariannaar.gov,Marianna,AR,City,City of Marianna,not_found,,,2026-08-11
cavespringsar.gov,Cave Springs,AR,City,City of Cave Springs,not_found,,,2026-08-11
marmadukear.gov,Marmaduke,AR,City,City of Marmaduke,not_found,,,2026-08-11
mayflowerwaterworks.gov,Mayflower,AR,City,Mayflower Waterworks,found,https://mayflowerwaterworks.gov/Bids.aspx,civicplus,2026-08-11
camdenairportar.gov,Camden,AR,City,Camden Municipal Airport,not_found,,,2026-08-11
decaturar.gov,Decatur,AR,City,City of Decatur,not_found,,,2026-08-11
littlerockar.gov,Little Rock,AR,City,City,not_found,,,2026-08-11
cityoflakeviewar.gov,Lakeview,AR,City,City of Lakeview,not_found,,,2026-08-11
avocaarkansas.gov,Avoca,AR,City,Town of Avoca,not_found,,,2026-08-11
townoflynnar.gov,Lynn,AR,City,Town of Lynn,not_found,,,2026-08-11
mayflowerarfire.gov,Mayflower,AR,City,City of Mayflower,found,https://mayflowerarfire.gov/Bids.aspx,civicplus,2026-08-11
bryantar.gov,Bryant,AR,City,City of Bryant,found,https://bryantar.gov/pages/bids/,agency,2026-08-11
mayflowerar.gov,Mayflower,AR,City,City of Mayflower,found,https://mayflowerar.gov/bids,agency,2026-08-11
huttigar.gov,Huttig,AR,City,City of Huttig,not_found,,,2026-08-11
cityofhorseshoebendar.gov,Horseshoe Bend,AR,City,City of Horseshoe Bend,not_found,,,2026-08-11
cityoflavacaar.gov,Lavaca,AR,City,City of Lavaca,not_found,,,2026-08-11
almaarkansas.gov,Alma,AR,City,City of Alma,not_found,,,2026-08-11
batesvillearkansas.gov,Batesville,AR,City,City of Batesville,not_found,,,2026-08-11
clarksvillear.gov,Clarksville,AR,City,City of Clarksville,not_found,,,2026-08-11
lowellar.gov,Lowell,AR,City,City of Lowell,not_found,,,2026-08-11
cityoflonokear.gov,Lonoke,AR,City,City of Lonoke,not_found,,,2026-08-11
townofmaynardar.gov,Maynard,AR,City,Town of Maynard,not_found,,,2026-08-11
mountainpinear.gov,Mountain Pine,AR,City,City Of Mountain Pine,not_found,,,2026-08-11
etowahar.gov,Etowah,AR,City,"Town of Etowah, Arkansas",not_found,,,2026-08-11
cityofleachvilleark.gov,Leachville,AR,City,City of Leachville,not_found,,,2026-08-11
siloamsprings.gov,SILOAM SPRINGS,AR,City,City of Siloam Springs,found,https://siloamsprings.gov/Bids.aspx,civicplus,2026-08-11
cityofnorforkar.gov,Norfork,AR,City,City Of Norfork,not_found,,,2026-08-11
mulberrypolicear.gov,Mulberry,AR,City,City of Mulberry,not_found,,,2026-08-11
newportarkansas.gov,Newport,AR,City,City of Newport,not_found,,,2026-08-11
kingcovedps.gov,King Cove,AK,City,King Cove Department of Public Safety,not_found,,,2026-08-11
bentonar.gov,BENTON,AR,City,City of Benton,not_found,,,2026-08-11
mayflowerarpd.gov,Mayflower,AR,City,City of Mayflower,found,https://mayflowerarpd.gov/bids,agency,2026-08-11
russellvillear.gov,Russellville,AR,City,City of Russellville,found,https://russellvillear.gov/Bids.aspx,civicplus,2026-08-11
dardanelle.gov,Dardanelle,AR,City,City of Dardanelle,not_found,,,2026-08-11
marshallark.gov,Mrshall,AR,City,City of Marshall,not_found,,,2026-08-11
lowellarkansas.gov,Lowell,AR,City,City of Lowell,not_found,,,2026-08-11
cityofmanilaar.gov,Manila,AR,City,City Of Manila,not_found,,,2026-08-11
mountidaarkansas.gov,Mount Ida,AR,City,"City of Mount Ida, Arkansas",not_found,,,2026-08-11
townoffountainlake.gov,Hot Springs,AR,City,Town of Fountain Lake,not_found,,,2026-08-11
nashvillearpd.gov,Nashville,AR,City,Nashville Police Department,not_found,,,2026-08-11
morrilton.gov,"Morrilton, Arkansas",AR,City,Morrilton City Hall,not_found,,,2026-08-11
franklinar.gov,Franklin,AR,City,Town of Franklin,not_found,,,2026-08-11
cityofmccrory.gov,McCrory,AR,City,CITY OF MCCRORY,not_found,,,2026-08-11
rogersar.gov,Rogers,AR,City,City of Rogers,found,https://rogersar.gov/Bids.aspx,civicplus,2026-08-11
